district_id,state,district,cook_rating,incumb_status,pvi,d_total,r_total,ratio,mu_hat,sigma_i,p_win,msg_i_per_1m,recommended_share,observed_share,difference,outcome,redistricting_flagged
CA-18,CA,18,Safe D,Incumbent,22.530887217829346,2498797.41,199052.48,0.9262181040028139,54.021,12.879,1.0,5e-06,0.001935,0.001935,0.0,D,False
FL-03,FL,3,Safe R,Challenger,-9.079725707420678,18380.82,2131667.9,0.008549024879771097,-37.029,6.711,0.0,5e-06,1.4e-05,1.4e-05,0.0,R,False
FL-24,FL,24,Safe D,Incumbent,26.86007770418651,566479.18,33811.39,0.9436749606111586,59.336,13.271,1.0,5e-06,0.000439,0.000439,0.0,D,False
LA-02,LA,2,Safe D,Challenger,25.16643417438329,1898973.77,41221.17,0.9787541091102939,27.312,7.501,0.9999,5e-06,0.001471,0.001471,0.0,D,False
VA-11,VA,11,Safe D,Incumbent,17.903084074439196,2190664.25,64175.91,0.9715385989931986,50.656,12.473,1.0,4e-06,0.001696,0.001697,-0.0,D,False
OH-11,OH,11,Safe D,Incumbent,28.441346247008543,929166.07,84766.12,0.9163986301687492,60.033,13.417,1.0,4e-06,0.000717,0.00072,-2e-06,D,False
NY-21,NY,21,Safe R,Challenger,-9.049076835055661,91827.8,7636448.94,0.011882053799227691,-35.095,6.709,0.0,4e-06,7.1e-05,7.1e-05,0.0,R,False
NC-07,NC,7,Safe R,Challenger,-8.254535703796442,13221.0,1965223.57,0.006682522321057496,-37.417,6.672,0.0,4e-06,8e-06,1e-05,-2e-06,R,True
NJ-10,NJ,10,Safe D,Challenger,30.651816525153706,484650.82,22487.43,0.955658185908872,33.088,7.791,1.0,4e-06,0.000375,0.000375,0.0,D,False
IN-05,IN,5,Safe R,Challenger,-12.021418015673689,110598.0,5483301.03,0.019771182748716865,-35.767,6.849,0.0,4e-06,8.6e-05,8.6e-05,0.0,R,False
PA-05,PA,5,Safe D,Incumbent,13.93763368095236,1517602.1400000001,15279.31,0.9900322950610433,47.01,12.135,0.9999,4e-06,0.001175,0.001175,-0.0,D,False
CT-01,CT,1,Safe D,Incumbent,11.526638530994981,1658028.59,9170.2,0.9944996361231765,44.555,11.935,0.9999,4e-06,0.001284,0.001284,0.0,D,False
PA-02,PA,2,Safe D,Incumbent,21.679232400053635,846770.73,23697.85,0.9727757548698657,54.781,12.804,1.0,4e-06,0.000654,0.000656,-2e-06,D,False
WA-02,WA,2,Safe D,Incumbent,9.080595379195262,2463142.92,12774.78,0.994840385849659,41.921,11.734,0.9998,4e-06,0.001907,0.001908,-0.0,D,False
AL-07,AL,7,Safe D,Incumbent,14.226682719477429,2469451.0700000003,42634.27,0.9830283353351363,47.081,12.16,0.9999,4e-06,0.001907,0.001912,-6e-06,D,False
TX-35,TX,35,Safe D,Incumbent,21.121858476582872,908128.59,18791.67,0.9797267674352053,54.422,12.754,1.0,3e-06,0.000703,0.000703,0.0,D,False
IA-04,IA,4,Safe R,Challenger,-15.527668627078642,155195.04,4154572.67,0.03601007071446085,-36.437,7.017,0.0,3e-06,0.00012,0.00012,0.0,R,False
MI-06,MI,6,Safe D,Incumbent,10.536606251083619,1656970.4,6374.56,0.9961676259866143,43.541,11.853,0.9999,3e-06,0.001282,0.001283,-1e-06,D,False
KY-03,KY,3,Safe D,Incumbent,8.079431177631157,1142008.52,1732.75,0.9984850157588525,40.961,11.653,0.9998,3e-06,0.000884,0.000884,-0.0,D,False
